cliente_id,edad,genero,region,visitas_mensuales,numero_compras,devoluciones,metodo_pago,reseña_score,tipo_cliente,monto_compra
137,28,Femenino,Centro,9,6,1,Débito,4.1,Frecuente,499.66
138,70,Femenino,Norte,12,3,0,Transferencia,2.9,Ocasional,508.15
139,43,Otro,Sur,13,9,1,Débito,4.8,Premium,1017.05
140,54,Femenino,Sur,5,7,1,Débito,4.9,Frecuente,289.46
141,33,Femenino,Norte,15,5,1,PayPal,4.5,Ocasional,551.87
142,77,Femenino,Norte,15,4,2,Tarjeta,3.0,Frecuente,728.3
143,62,Otro,Norte,11,6,1,Débito,2.1,Frecuente,731.24
144,26,Masculino,Norte,11,6,0,Débito,4.2,Frecuente,720.74
145,51,Femenino,Sur,10,5,0,Débito,2.3,Ocasional,277.33
146,68,Femenino,Norte,10,5,1,Débito,4.5,Frecuente,348.13
147,51,Masculino,Norte,7,6,1,Débito,5.0,Ocasional,236.59
148,17,Femenino,Norte,9,7,0,Tarjeta,1.4,Ocasional,441.43
149,63,Masculino,Norte,10,8,1,Débito,2.4,Ocasional,496.59
150,61,Femenino,Centro,7,3,1,Transferencia,2.2,Ocasional,262.53
151,32,Femenino,Centro,5,3,1,Tarjeta,1.4,Ocasional,196.06
152,21,Masculino,Norte,10,8,1,,3.0,Premium,1010.43
153,56,Masculino,Centro,5,7,1,Tarjeta,3.2,Ocasional,385.1
154,61,Femenino,Sur,10,8,0,Transferencia,3.4,Frecuente,451.16
155,38,Masculino,Norte,6,5,1,Débito,4.8,Frecuente,382.09
156,62,Femenino,Centro,9,3,1,Tarjeta,2.8,Frecuente,337.75
157,31,Masculino,Norte,12,8,1,Tarjeta,3.7,Frecuente,820.83
158,75,Femenino,Sur,5,5,1,PayPal,4.5,Frecuente,332.57
159,56,Masculino,Centro,12,7,1,PayPal,2.2,Ocasional,561.08
160,41,Femenino,Norte,6,10,0,Débito,1.1,Ocasional,598.88
161,61,Femenino,Sur,7,11,1,Débito,2.6,Ocasional,594.19
162,65,Femenino,Norte,11,8,1,Transferencia,4.5,Frecuente,447.98
163,16,Masculino,Sur,11,6,1,PayPal,4.3,Ocasional,471.49
164,51,Femenino,Norte,9,3,0,PayPal,1.1,Ocasional,245.09
165,45,Masculino,Norte,6,3,0,PayPal,3.6,Frecuente,282.49
166,17,Masculino,Centro,7,7,1,Transferencia,4.2,Ocasional,455.13
167,35,Masculino,Norte,4,7,1,Tarjeta,2.2,Ocasional,226.78
168,20,Masculino,Sur,16,3,1,PayPal,4.6,Ocasional,243.77
169,46,Masculino,Sur,8,6,1,Transferencia,1.9,Frecuente,693.13
170,23,Femenino,Sur,13,6,1,Transferencia,1.8,Frecuente,382.24
171,45,Masculino,Centro,4,6,0,Transferencia,2.8,Ocasional,368.7
172,54,Masculino,Norte,6,4,1,PayPal,4.9,Frecuente,436.69
173,76,Femenino,Centro,9,8,0,Débito,4.0,Ocasional,284.94
174,17,Masculino,Sur,7,9,0,Transferencia,1.9,Premium,825.0
175,68,Masculino,Centro,11,7,1,Tarjeta,3.6,Ocasional,395.42
176,78,Femenino,Norte,13,6,2,Tarjeta,4.5,Premium,655.08
177,28,Femenino,Sur,9,7,1,Débito,1.5,Frecuente,460.53
178,19,Otro,Sur,17,5,1,Débito,,Frecuente,886.23
179,60,Masculino,Norte,9,4,1,Transferencia,1.9,Ocasional,303.87
180,67,Masculino,Norte,14,8,0,Débito,4.2,Ocasional,663.2
181,23,Masculino,Norte,7,6,0,PayPal,4.0,Frecuente,521.27
182,54,Masculino,Sur,5,8,0,PayPal,3.1,Ocasional,500.82
183,40,Masculino,Centro,9,3,2,Tarjeta,3.8,Ocasional,388.84
184,22,Masculino,Centro,12,11,1,Débito,1.5,Ocasional,691.14
185,29,Masculino,Norte,4,7,1,Débito,4.9,Ocasional,410.58
186,44,Masculino,Sur,17,5,2,Transferencia,2.3,Ocasional,452.11
187,60,Masculino,Sur,11,6,1,PayPal,2.7,Ocasional,489.94
188,79,Masculino,Sur,8,8,0,Transferencia,4.6,Frecuente,529.28
189,36,Femenino,Centro,9,5,0,Transferencia,2.7,Ocasional,264.83
190,52,Masculino,Centro,9,1,2,Tarjeta,1.3,Frecuente,116.0
191,71,Femenino,Sur,8,7,1,Débito,,Premium,781.96
192,64,Femenino,Sur,9,5,1,Tarjeta,3.5,Ocasional,438.17
193,48,Masculino,Sur,13,3,2,PayPal,1.8,Ocasional,427.59
194,73,Otro,Centro,10,6,1,PayPal,2.4,Premium,751.72
195,56,Masculino,Centro,7,5,1,Tarjeta,4.8,Frecuente,397.92
196,40,Femenino,Sur,6,6,1,Débito,3.3,Frecuente,1603.56
197,68,Masculino,Centro,5,7,0,Transferencia,4.1,Ocasional,298.16
198,74,Femenino,Sur,5,6,1,PayPal,3.7,Frecuente,405.07
199,79,Otro,Centro,9,5,0,PayPal,4.2,Premium,715.42
200,74,Masculino,Sur,12,4,0,PayPal,3.1,Ocasional,334.19
201,61,Femenino,Centro,13,11,1,PayPal,1.8,Ocasional,853.81
202,29,Femenino,Centro,9,5,0,PayPal,1.2,Premium,334.87
203,24,Otro,Norte,12,10,0,PayPal,3.8,Ocasional,422.27
204,30,Femenino,Sur,9,2,0,Débito,1.3,Premium,380.02
205,22,Femenino,Sur,10,7,1,Débito,4.2,Frecuente,355.12
206,17,Masculino,Norte,11,6,1,PayPal,3.7,Premium,387.63
207,46,Femenino,Centro,8,5,2,Débito,3.4,Ocasional,280.99
208,22,Masculino,Norte,6,3,1,Transferencia,3.9,Ocasional,249.32
209,56,Femenino,Norte,9,5,1,Transferencia,3.1,Frecuente,304.41
210,71,Otro,Sur,10,8,3,Tarjeta,1.8,Frecuente,576.21
211,26,Masculino,Norte,8,9,2,PayPal,3.1,Premium,508.87
212,28,Femenino,Centro,5,3,1,Débito,5.0,Ocasional,197.42
213,28,Masculino,Sur,8,8,2,Tarjeta,4.4,Frecuente,778.05
214,41,Femenino,Norte,12,5,1,PayPal,4.8,Premium,610.1
215,58,Femenino,Centro,8,6,2,Transferencia,3.4,Ocasional,414.46
216,75,Femenino,Norte,11,6,1,Transferencia,1.0,Premium,785.99
217,65,Masculino,Centro,14,5,1,PayPal,4.9,Premium,705.28
218,23,Masculino,Norte,11,7,2,Transferencia,1.5,Ocasional,600.52
219,29,Femenino,Sur,9,3,0,PayPal,3.0,Premium,310.2
220,60,Femenino,Sur,13,7,2,Transferencia,1.7,Frecuente,510.76
221,75,Femenino,Centro,13,10,1,Transferencia,4.2,Frecuente,465.83
222,17,Masculino,Sur,13,9,0,Transferencia,3.5,Ocasional,604.12
223,71,Femenino,Centro,10,4,2,Tarjeta,3.3,Frecuente,422.5
224,57,Masculino,Norte,7,6,0,Tarjeta,4.0,Ocasional,403.81
225,30,Masculino,Sur,10,5,0,Débito,1.4,Ocasional,316.17
226,72,Masculino,Centro,8,5,2,Transferencia,4.2,Frecuente,503.74
227,39,Femenino,Sur,12,7,2,Transferencia,3.6,Ocasional,361.53
228,79,Femenino,Norte,13,8,1,PayPal,,Ocasional,484.88
229,49,Femenino,Centro,7,6,0,Débito,4.8,Ocasional,452.51
230,19,Femenino,Sur,5,12,0,Débito,4.0,Ocasional,434.65
231,33,Femenino,Norte,11,6,1,Transferencia,1.2,Frecuente,669.43
232,40,Masculino,Sur,10,5,0,Transferencia,1.7,Ocasional,381.72
233,62,Femenino,Norte,9,3,0,Tarjeta,1.8,Frecuente,486.74
234,39,Otro,Sur,12,9,1,Tarjeta,1.0,Ocasional,329.41
235,21,Femenino,,9,3,1,Débito,2.7,Ocasional,286.77
236,49,Otro,Centro,10,7,1,Débito,2.0,Frecuente,584.47
237,66,Masculino,Norte,9,1,0,Transferencia,3.9,Premium,405.86
238,53,Femenino,Centro,3,10,0,PayPal,4.1,Ocasional,266.62
239,18,Masculino,Sur,10,4,0,Débito,1.5,Ocasional,325.12
240,34,Masculino,Norte,8,3,0,Débito,1.6,Frecuente,283.63
241,62,Femenino,Sur,10,3,1,Tarjeta,1.9,Ocasional,404.58
242,61,Femenino,Centro,15,9,0,Débito,3.7,Frecuente,953.3
243,73,Masculino,Norte,12,6,0,Transferencia,2.1,Frecuente,501.76
244,51,Femenino,,14,6,1,Transferencia,4.1,Frecuente,740.47
245,34,Masculino,,11,6,0,PayPal,1.5,Ocasional,334.92
246,43,Masculino,Centro,12,9,1,PayPal,3.5,Ocasional,642.99
247,62,Femenino,Sur,13,8,0,Débito,1.8,Frecuente,738.24
248,70,Femenino,Norte,20,5,1,Transferencia,2.3,Ocasional,539.43
249,71,Femenino,Norte,10,5,0,PayPal,1.8,Ocasional,356.36
250,25,Masculino,Norte,11,8,1,Transferencia,3.3,Ocasional,531.67
251,33,Masculino,Centro,11,9,0,Débito,4.7,Ocasional,506.06
252,78,Masculino,Centro,13,7,2,Transferencia,2.4,Ocasional,373.25
253,19,Masculino,Centro,14,4,2,Transferencia,4.3,Ocasional,487.37
254,27,Masculino,Norte,9,6,0,Tarjeta,1.2,Frecuente,493.68
255,42,Masculino,Sur,13,7,2,PayPal,2.4,Ocasional,706.14
256,44,Femenino,Norte,16,6,0,Débito,1.6,Frecuente,650.49
257,72,Masculino,Sur,13,2,0,Transferencia,3.6,Frecuente,602.64
258,27,Masculino,Centro,10,5,0,Tarjeta,1.8,Frecuente,572.22
259,26,Femenino,Norte,9,2,1,PayPal,4.5,Ocasional,182.86
260,19,Masculino,Norte,14,4,1,Tarjeta,3.9,Ocasional,583.49
261,61,Femenino,Norte,5,7,0,Débito,2.5,Frecuente,440.12
262,74,Femenino,Norte,9,4,1,Débito,1.2,Ocasional,334.13
263,74,Masculino,Norte,13,3,1,Tarjeta,4.6,Frecuente,620.62
264,75,Femenino,,9,2,3,PayPal,1.7,Ocasional,225.82
265,39,Masculino,Centro,13,6,2,Transferencia,4.3,Ocasional,684.86
266,41,Femenino,Centro,9,6,0,Tarjeta,2.4,Premium,425.54
267,43,Otro,Centro,7,2,0,Tarjeta,1.2,Ocasional,318.59
268,73,Masculino,Norte,10,14,1,PayPal,1.6,Ocasional,300.6
269,62,Masculino,Centro,15,6,0,PayPal,2.7,Frecuente,798.78
270,75,Femenino,Sur,4,8,1,PayPal,4.4,Ocasional,567.2
271,19,Femenino,Centro,8,10,0,Tarjeta,2.1,Frecuente,707.54
272,51,Femenino,Sur,11,4,0,Débito,1.5,Ocasional,402.64
273,30,Femenino,Sur,6,5,0,Débito,3.5,Frecuente,395.43
274,37,Masculino,Centro,12,5,1,Débito,3.5,Ocasional,315.9
275,75,Femenino,Centro,11,5,0,Transferencia,2.3,Frecuente,435.31
276,70,Otro,Sur,10,7,0,Tarjeta,4.1,Ocasional,394.4
277,64,Femenino,Sur,7,9,1,PayPal,3.2,Premium,3128.4
278,72,Femenino,Sur,6,2,1,PayPal,4.9,Ocasional,191.95
279,39,Femenino,Sur,9,8,0,Débito,2.7,Ocasional,546.02
280,39,Otro,Norte,3,5,0,Tarjeta,4.3,Ocasional,277.96
281,52,Masculino,Norte,7,11,1,Tarjeta,2.5,Ocasional,755.28
282,20,Masculino,Norte,12,5,1,PayPal,2.2,Ocasional,416.13
283,21,Femenino,Sur,8,7,0,Débito,4.1,Ocasional,465.75
284,64,Masculino,Sur,6,5,0,Transferencia,1.3,Ocasional,247.76
285,72,Femenino,Norte,8,6,1,Transferencia,2.0,Frecuente,672.46
286,76,Masculino,Centro,12,2,0,PayPal,3.1,Frecuente,202.2
287,25,Femenino,Centro,8,4,0,Débito,3.6,Ocasional,434.03
288,18,Masculino,Centro,13,6,1,Débito,3.6,Frecuente,2664.88
289,53,Masculino,Norte,9,15,0,PayPal,1.9,Premium,1738.78
290,49,Masculino,Sur,6,9,0,Transferencia,2.8,Premium,968.09
291,21,Femenino,Centro,9,4,0,Débito,3.9,Ocasional,314.19
292,76,Femenino,Sur,10,5,0,Débito,2.8,Ocasional,239.55
293,25,Femenino,Centro,11,1,2,Transferencia,2.5,Ocasional,251.74
294,31,Masculino,Norte,9,4,0,PayPal,2.4,Ocasional,259.22
295,75,Masculino,Sur,11,4,0,Transferencia,3.7,Ocasional,264.66
296,44,Masculino,Centro,7,9,3,,3.8,Ocasional,616.48
297,18,Femenino,Centro,14,6,0,Tarjeta,4.0,Frecuente,514.31
298,26,Masculino,Sur,11,6,0,Débito,2.9,Ocasional,317.14
299,52,Masculino,Sur,13,4,3,Débito,3.8,Ocasional,308.01
300,19,Femenino,Sur,13,5,1,PayPal,4.5,Frecuente,268.99
301,64,Masculino,Sur,16,5,2,Débito,1.2,Ocasional,683.2
302,19,Femenino,Centro,11,4,1,PayPal,1.9,Ocasional,333.5
303,39,Femenino,Norte,7,5,1,PayPal,4.8,Frecuente,384.79
304,43,Masculino,Sur,10,7,1,Débito,2.3,Ocasional,289.35
305,71,Masculino,Norte,16,3,0,Tarjeta,2.8,Ocasional,335.53
306,50,Femenino,Norte,8,8,1,Débito,2.4,Ocasional,619.07
307,53,Femenino,Centro,7,6,0,Transferencia,1.9,Ocasional,199.14
308,65,Femenino,Centro,14,5,0,Transferencia,4.5,Ocasional,506.68
309,39,Masculino,Sur,11,7,0,Débito,1.1,Frecuente,644.28
310,37,Femenino,Norte,13,5,0,Transferencia,4.3,Ocasional,531.64
311,41,Masculino,Sur,12,6,1,Débito,2.7,Frecuente,654.91
312,33,Masculino,Centro,7,9,1,Débito,4.8,Ocasional,496.43
313,74,Masculino,Norte,6,4,1,Débito,3.4,Frecuente,323.4
314,18,Masculino,Norte,7,8,1,PayPal,3.1,Frecuente,678.94
315,61,Femenino,Centro,9,7,1,PayPal,2.7,Frecuente,347.15
316,26,Femenino,Centro,11,4,0,PayPal,1.9,Frecuente,385.71
317,24,Femenino,Centro,8,5,1,PayPal,4.9,Frecuente,635.43
318,69,Masculino,Centro,9,3,0,Débito,3.6,Frecuente,352.36
319,48,Masculino,Centro,7,3,0,Débito,3.6,Ocasional,310.89
320,41,Femenino,Centro,10,5,1,Transferencia,,Frecuente,400.48
321,51,Masculino,Norte,12,2,0,PayPal,3.4,Ocasional,305.79
322,19,Femenino,Norte,7,7,1,Débito,2.4,Ocasional,576.2
323,67,Masculino,Norte,7,3,1,Transferencia,4.4,Ocasional,252.22
324,17,Femenino,Sur,10,13,0,Tarjeta,2.5,Ocasional,526.91
325,23,Femenino,Sur,11,6,1,Transferencia,4.7,Frecuente,597.98
326,22,Masculino,Norte,12,6,0,Transferencia,1.5,Frecuente,443.89
327,51,Masculino,Centro,7,6,3,Débito,3.0,Ocasional,488.61
328,49,Masculino,Norte,13,9,1,PayPal,3.2,Frecuente,544.25
329,55,Femenino,Sur,11,6,1,Transferencia,3.6,Ocasional,339.83
330,34,Masculino,Sur,10,5,0,PayPal,2.6,Frecuente,352.08
331,44,Masculino,Sur,7,10,1,Transferencia,1.7,Premium,1022.87
332,54,Femenino,Sur,11,2,1,Transferencia,4.5,Frecuente,290.81
333,21,Femenino,Centro,12,4,3,PayPal,1.3,Premium,488.47
334,25,Femenino,Norte,7,3,1,Transferencia,2.4,Ocasional,279.83
335,56,Femenino,Centro,7,3,0,PayPal,2.1,Frecuente,243.23
336,57,Masculino,Sur,8,8,1,PayPal,1.8,Frecuente,540.22
337,20,Masculino,Sur,9,9,1,Débito,4.6,Ocasional,627.81
338,74,Masculino,Norte,13,5,0,Débito,1.9,Frecuente,659.91
339,39,Femenino,Centro,15,5,0,Transferencia,,Frecuente,825.46
340,56,Femenino,Norte,5,6,0,Débito,4.7,Ocasional,390.69
341,37,Femenino,Sur,9,6,1,,2.3,Ocasional,334.04
342,41,Masculino,Norte,10,4,0,PayPal,2.3,Ocasional,333.0
343,66,Femenino,Sur,14,3,1,Transferencia,1.2,Frecuente,636.62
344,52,Femenino,Norte,10,11,0,Tarjeta,2.7,Frecuente,487.42
345,60,Masculino,Norte,11,8,0,PayPal,3.7,Frecuente,745.65
346,44,Femenino,Norte,8,4,0,Transferencia,2.2,Frecuente,314.77
347,51,Femenino,Sur,6,6,0,Transferencia,3.9,Ocasional,401.45
348,35,Masculino,Norte,13,9,1,Tarjeta,1.9,Ocasional,884.79
349,33,Masculino,Norte,12,5,1,,2.3,Frecuente,413.54
350,55,Femenino,Centro,9,1,0,Transferencia,2.9,Frecuente,379.48
351,79,Otro,Sur,5,7,0,Transferencia,4.2,Frecuente,323.96
352,60,Femenino,Centro,11,5,0,PayPal,2.1,Ocasional,272.35
353,77,Femenino,Norte,13,5,1,Transferencia,1.8,Ocasional,519.7
354,56,Femenino,Sur,8,4,1,Tarjeta,1.0,Frecuente,453.67
355,69,Femenino,Norte,8,6,0,Tarjeta,4.6,Premium,853.92
356,71,Femenino,Norte,5,5,1,Débito,4.5,Ocasional,239.04
357,71,Masculino,Sur,5,7,0,Tarjeta,3.6,Frecuente,383.37
358,30,Masculino,Norte,6,2,1,Transferencia,4.4,Ocasional,237.59
359,30,Masculino,Norte,4,8,1,Transferencia,3.3,Ocasional,431.2
360,39,Masculino,Sur,10,10,2,Tarjeta,3.9,Ocasional,445.35
361,78,Masculino,Centro,12,5,0,Débito,2.6,Frecuente,456.14
362,44,Femenino,Centro,13,2,1,Débito,2.9,Frecuente,547.77
363,69,Femenino,Sur,12,4,0,Transferencia,4.7,Ocasional,306.24
364,32,Masculino,Norte,12,4,1,PayPal,4.1,Frecuente,444.62
365,64,Masculino,Centro,13,5,1,Tarjeta,4.1,Frecuente,284.27
366,62,Femenino,Sur,11,3,0,Transferencia,4.0,Ocasional,238.72
